answer_llm,answer_orig,document,question,course
"Yes, sessions are recorded, so you won’t miss anything. If you have questions, you can ask them in advance for office hours and they will be covered during the live stream. You can also ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Yes, you can ask your questions in advance if you can't attend a live stream. You will be able to submit your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, everything is recorded, so you won’t miss anything. You can ask your questions in advance for office hours, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Yes, there is a way to catch up on a missed session. Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Yes, you can still interact with instructors after missing a session. All sessions are recorded, so you can catch up on anything you missed. Additionally, you can ask questions in advance for office hours, and they will be addressed during the live stream. You can also ask questions anytime in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"The course contains minimal theoretical content. The focus is predominantly on practice, and the theoretical aspects are covered only at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. It focuses more on practice, covering theory only on an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"The focus of the course is more on practice. The course covers theory only at the intuitive level, with an emphasis on practical application, like how to use logistic regression and interpret results, rather than deriving theoretical concepts such as the gradient update rule.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"The course covers the bare minimum theory, focusing more on practice and intuition. To find more detailed theoretical discussions not covered here, you may want to explore other courses designed for in-depth theory, particularly for topics like deriving the gradient update rule for logistic regression. The provided link (https://mlbookcamp.com/article/python) can serve as a starting point for resources related to the course's approach.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will help you understand how to use logistic regression and interpret its results. The focus is on practice, and while the course does not cover the theoretical derivation of concepts like the gradient update rule for logistic regression, it will provide you with the knowledge to use logistic regression and make sense of the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"No, prior knowledge in math is not necessary for this course. The course will cover some linear algebra, but it mainly focuses on code rather than formulas. If you want to get a head start, you can watch some recommended videos on linear algebra, such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev or the playlist by 3Blue1Brown titled ""Essence of linear algebra."" If you have any questions, you are encouraged to ask the community for help.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The course will cover some linear algebra, but in general, there will be very few formulas and will mostly focus on code.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. The course will cover some linear algebra, but primarily focus on code rather than formulas. You can watch the ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" video by Alexey Grigorev and the ""Essence of linear algebra"" playlist by 3Blue1Brown for further understanding. Additionally, you are encouraged to ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Yes, there are recommended videos for learning linear algebra. You can watch ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev or explore the excellent playlist from 3Blue1Brown titled ""Vectors | Chapter 1, Essence of linear algebra.""","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, you should first check your promotions tab in Gmail as well as your spam folder. It's also possible that if you unsubscribed from the newsletter, you won't receive course-related updates. However, this is not a big issue. To ensure you stay updated, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements, which will be sufficient to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible that your confirmation email went to your spam folder. You should check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from the newsletter, you won't receive course-related updates. However, you can still stay updated by joining the #course-ml-zoomcamp channel on Slack and the announcements channel on Telegram.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Unsubscribing from the newsletter will affect receiving course updates, as you won't receive course-related updates through the newsletter. To ensure you don't miss anything, it's recommended to join the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements. This will be sufficient to stay updated on the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you don’t receive the confirmation email, you can get course updates by joining the #course-ml-zoomcamp channel on Slack and our Telegram channel with announcements. This will ensure you stay updated with the course information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"To stay informed about the course if you're having email issues, you should join the #course-ml-zoomcamp channel on Slack and the Telegram channel with announcements. This will ensure you don't miss any important updates.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months, but it may take longer if you choose to engage in extra activities such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course takes approximately 4 months, but it may take longer if you choose to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course can take more than 4 months if you choose to do some extra activities, such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"The FAQ database does not provide specific information about extending the course duration. However, it mentions that the course lasts approximately 4 months and you can do extra activities if desired. Additionally, the course is available in a self-paced mode, allowing you to go through the materials at any time.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
The extra activities that might extend the course time include doing an extra project or writing an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
You should allocate around ~10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
Students of the previous cohort spent around ~10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
The estimated weekly time commitment for the course is around 10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"To find the detailed analysis of study time requirements, you can refer to the full article by Timur Kamaliev, who conducted a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline. Submitting two projects and completing the peer-review requirement is sufficient to get the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate, you need to submit at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. You need to finish at least 2 out of 3 projects and peer-review 3 course-mates' projects for each submission in order to receive the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
The deadline to qualify for the certificate requires you to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline. Specific deadlines for the 2023 cohort can be found on the 2023 cohort page.,"Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, you can still receive a certificate even if you don't complete the midterm project. You need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline to be eligible for the certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, you can still potentially graduate without submitting the midterm project. To receive a certificate, you need to complete at least 2 out of 3 course projects and review 3 peers' projects by the deadline. Therefore, if you complete the other two projects and meet the peer review requirement, you can still obtain a certificate.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you are eligible for certification if you missed the midterm project. To receive a certificate, you need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline. Missing one project, like the midterm, does not disqualify you as long as you meet the other criteria.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project for the certificate. You need to complete at least 2 out of 3 course projects and review 3 peers’ projects by the deadline to be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
Missing the midterm project does not affect your certification eligibility. You can still get a certificate if you complete at least two out of the three projects (including peer-reviewing at least three peers' projects for each submission).,"Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"The course requires you to understand some Python basics, such as how to run a Jupyter notebook, how to import libraries (and understand what libraries are), how to declare a variable (and what variables are), and perform some important operations related to data analysis. You can refer to the ""Introduction to Python – Machine Learning Bookcamp"" article or follow the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform to ensure you have the necessary background.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"You can learn the necessary Python knowledge for the course by following the ""Learn Python Basics for Data Analysis"" English course available for free on the OpenClassrooms e-learning platform. This course covers the basic Python skills needed for data analysis. It is important to know how to run a Jupyter notebook, import libraries, declare variables, and perform some important operations related to data analysis. If you need more details on the required Python knowledge, you can refer to the ""Introduction to Python – Machine Learning Bookcamp"" article.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"The provided CONTEXT does not directly address why it is important to know how to run a Jupyter notebook for this course. However, based on the information given, one reason could be that Jupyter notebooks are frequently used for running commands and executing code, as indicated by the instruction to install Xgboost directly in a Jupyter notebook and the troubleshooting tips for running commands within notebooks. This suggests that familiarity with running Jupyter notebooks is integral to engaging with course materials and executing the required programming tasks.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"The context provided does not explicitly list specific basic operations regarding data analysis that you should know for the course. However, it does mention the following important basics for data analysis in Python:

- How to run a Jupyter notebook.
- How to import libraries (and understanding what libraries are).
- How to declare a variable (and understanding what variables are).

These basics likely form part of the foundational operations and concepts you should be familiar with for the course.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you can follow the free English course on the OpenClassrooms e-learning platform titled ""Learn Python Basics for Data Analysis."" This course covers Python basics such as declaring variables and other fundamental operations necessary for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"For the Machine Learning portion of the course, you only need a working laptop with an internet connection. The Deep Learning part is more resource-intensive, but you can utilize cloud services for that. The course uses Saturn Cloud, but other cloud services can also be used.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. For the Machine Learning part, a working laptop with an internet connection is sufficient. However, for the Deep Learning part, you may need to use cloud resources, such as Saturn Cloud or similar alternatives, due to its higher resource demands.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
"Yes, Saturn Cloud can be used for the Deep Learning part of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp
"Yes, it is possible to use a cloud service other than Saturn Cloud for the Deep Learning section. The FAQ indicates that while Saturn Cloud is used, any other cloud service can also be used for the Deep Learning part of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp
You can find instructions to install TensorFlow GPU on Ubuntu in the article provided in the context: [https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/).,Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Yes, there is a guide to set up TensorFlow with GPU support on Ubuntu. You can refer to the article available at this link: [https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, setting up CUDA and cuDNN is necessary for running TensorFlow with GPU, and a simplified guide by Osman Ali is available for installing these on Ubuntu 22.04.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To configure GPU support for TensorFlow on your Ubuntu machine, you will need to set up CUDA and cuDNN. The process can be overwhelming, so here’s a simplified guide that can help: [Simplified guide by Osman Ali](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, make sure to install the NVIDIA drivers from their official site: [NVIDIA Drivers](https://www.nvidia.com/download/index.aspx).

For a more detailed setup, you can also visit the TensorFlow installation guide: [TensorFlow Installation Guide for Linux](https://www.tensorflow.org/install/pip#linux_1), and make sure to follow step 4 to install CUDA by environment. Also, consider installing the CUDA toolkit from the [CUDA Toolkit Archive](https://developer.nvidia.com/cuda-toolkit-archive) and cuDNN from the [cuDNN download page](https://developer.nvidia.com/rdp/cudnn-download). 

Following these steps should enable GPU support for TensorFlow on your Ubuntu machine.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp
